Fecha,Transacción_Detalle,Documento,Lugar,Débitos,Créditos,Saldo
2024 OCT 02,COMPRA EN CANAL ELECTRONI,Z4333696,REDEBAN,140000.00,0.00,16563804.48
2024 OCT 02,DEBITO POR RECAUDO  - ETB REGIONAL BOGOTA 12055099721,,DOMICILIACIONES,31900.00,0.00,16531904.48
2024 OCT 02,TRANSFERENCIA OTRA ENTIDA - 000000800194363 PROVEEDOR 202410021442330000157 FO O DE INVERSION CO,90228343,ACH,0.00,4413070.00,20944974.48
2024 OCT 04,COMPRA INTERNET - 118061608 FIRENZE ETAPA 5,9087392,INTERNET,5000000.00,0.00,15944974.48
2024 OCT 04,TRASLADO A OTRA ENTIDAD,9025779,INTERNET,687301.00,0.00,15257673.48
2024 OCT 05,COMPRA INTERNET - 118137682 FIRENZE ETAPA 5,1841822,INTERNET,5000000.00,0.00,10257673.48
2024 OCT 05,COMPRA EN CANAL ELECTRONI,14942437,REDEBAN,66900.00,0.00,10190773.48
2024 OCT 08,TRANSFERENCIA OTRA ENTIDA - 000000800194363 PROVEEDOR 202410081442330000009 FO O DE INVERSION CO,91371635,ACH,0.00,11473717.00,21664490.48
2024 OCT 08,COMPRA EN CANAL ELECTRONI,S4233225,REDEBAN,321509.00,0.00,21342981.48
2024 OCT 08,COMPRA EN CANAL ELECTRONI,W0726586,ASCREDIBANCO,37500.00,0.00,21305481.48
2024 OCT 09,DB TRANSFEREN OTRA CUENTA,81214405,INTERNET,500000.00,0.00,20805481.48
2024 OCT 09,COMPRA EN CANAL ELECTRONI,4LZO2955,ASCREDIBANCO,39900.00,0.00,20765581.48
2024 OCT 10,COMPRA EN CANAL ELECTRONI,Z8530630,REDEBAN,20960.00,0.00,20744621.48
2024 OCT 12,COMPRA INTERNET - 114591728761079135 Recarga Nequi PSE,7613445,INTERNET,300000.00,0.00,20444621.48
2024 OCT 12,COMPRA INTERNET - 4427364 Deposito a Daviplata por PSE,8046425,INTERNET,60000.00,0.00,20384621.48
2024 OCT 13,COMPRA INTERNET - 119941728837358342 Recarga Nequi PSE,8598528,INTERNET,100000.00,0.00,20284621.48
2024 OCT 13,COMPRA EN CANAL ELECTRONI,89989260,REDEBAN,113270.00,0.00,20171351.48
2024 OCT 15,COMPRA INTERNET - 118559749 FIRENZE ETAPA 5,948320,INTERNET,5000000.00,0.00,15171351.48
2024 OCT 17,COMPRA INTERNET - 177461729175931663 Recarga Nequi PSE,7292127,INTERNET,100000.00,0.00,15071351.48
2024 OCT 17,COMPRA EN CANAL ELECTRONI,QZSH7726,ASCREDIBANCO,15900.00,0.00,15055451.48
2024 OCT 17,COMPRA EN CANAL ELECTRONI,R9614621,REDEBAN,140000.00,0.00,14915451.48
2024 OCT 19,COMPRA INTERNET - 172031729358492358 Recarga Nequi PSE,2327314,INTERNET,400000.00,0.00,14515451.48
2024 OCT 19,COMPRA INTERNET - 4578491 Deposito a Daviplata por PSE,2466557,INTERNET,300000.00,0.00,14215451.48
2024 OCT 19,COMPRA EN CANAL ELECTRONI,M7933762,REDEBAN,66000.00,0.00,14149451.48
2024 OCT 19,COMPRA EN CANAL ELECTRONI,C7008071,REDEBAN,47000.00,0.00,14102451.48
2024 OCT 19,COMPRA EN CANAL ELECTRONI,C9615041,REDEBAN,34850.00,0.00,14067601.48
2024 OCT 20,COMPRA EN CANAL ELECTRONI,Z8894971,REDEBAN,39950.00,0.00,14027651.48
2024 OCT 20,COMPRA INTERNET - 147971729442799632 Recarga Nequi PSE,3730975,INTERNET,400000.00,0.00,13627651.48
2024 OCT 21,COMPRA INTERNET - 143781729521552888 Recarga Nequi PSE,5020101,INTERNET,300000.00,0.00,13327651.48
2024 OCT 21,COMPRA INTERNET - 118874286 FIRENZE ETAPA 5,5793073,INTERNET,6000000.00,0.00,7327651.48
2024 OCT 21,DEBITO POR RECAUDO DOMICILIACIONES - VANTI GAS NATURAL CU63526031,,,18500.00,0.00,7309151.48
2024 OCT 21,COMPRA EN CANAL ELECTRONI,Z3760256,ASCREDIBANCO,49000.00,0.00,7260151.48
2024 OCT 21,COMPRA EN CANAL ELECTRONI,TNGD2035,ASCREDIBANCO,42300.00,0.00,7217851.48
2024 OCT 21,COMPRA INTERNET - 86637595 Pagos,6659758,INTERNET,1070625.00,0.00,6147226.48
2024 OCT 21,COMPRA INTERNET - 243218888172956021 pbCONJUNTORESIDENCIALMILANObrInmueble5203b,6671951,INTERNET,204500.00,0.00,5942726.48
2024 OCT 22,COMPRA INTERNET - 118937870 FIRENZE ETAPA 5,8451104,INTERNET,2167065.00,0.00,3775661.48
2024 OCT 23,COMPRA INTERNET - 139251729697075191 Recarga Nequi PSE,9704874,INTERNET,1500000.00,0.00,2275661.48
2024 OCT 23,COMPRA INTERNET - 139821729714901286 Recarga Nequi PSE,488722,INTERNET,400000.00,0.00,1875661.48
2024 OCT 24,DEBITO POR RECAUDO DOMICILIACIONES - ENEL 76436009,,,100890.00,0.00,1774771.48
2024 OCT 24,COMPRA EN CANAL ELECTRONI,85564742,REDEBAN,33450.00,0.00,1741321.48
2024 OCT 25,COMPRA EN CANAL ELECTRONI,4LZO3123,ASCREDIBANCO,41400.00,0.00,1699921.48
2024 OCT 25,COMPRA INTERNET - 6257767064 PAGO ACUEDUCTO SERVICIO PUBLI TOCANCIPA,4550259,INTERNET,220020.00,0.00,1479901.48
2024 OCT 26,COMPRA EN CANAL ELECTRONI,Y6831440,ASCREDIBANCO,34000.00,0.00,1445901.48
2024 OCT 26,COMPRA EN CANAL ELECTRONI,43841091,ASCREDIBANCO,30000.00,0.00,1415901.48
2024 OCT 26,COMPRA EN CANAL ELECTRONI,10012277,REDEBAN,283755.00,0.00,1132146.48
2024 OCT 27,COMPRA EN CANAL ELECTRONI,J0048334,REDEBAN,47800.00,0.00,1084346.48
2024 OCT 27,COMPRA EN CANAL ELECTRONI,T0YX0214,ASCREDIBANCO,22900.00,0.00,1061446.48
2024 OCT 27,RETIRO RED PROPIA,31719036,CENTRO CHIA,100000.00,0.00,961446.48
2024 OCT 31,TRANSFERENCIA OTRA ENTIDA - 000009001696089 PAGOS 000000000000000000000000 00000000000000000,95500690,ACH,0.00,6733574.00,7695020.48
2024 OCT 31,GRAVAMEN MOVS FINANCIEROS - 118559749 FIRENZE ETAPA 5,12345678,CALLE 53,60628.00,0.00,7634392.48
2024 OCT 31,ABONO DE INTERESES,12345678,CALLE 53,0.00,393.99,7634786.47
2024 NOV 01,"DEBITO POR RECAUDO DOMICILIACIONES - ETB REGIONAL BOGOTA 12055099721",,,"31900.00",0.00,7602886.47
2024 NOV 05,"TRASLADO A OTRA ENTIDAD",70917722,"INTERNET","687301.00",0.00,6915585.47
2024 NOV 08,"RETIRO EFECT. CTA O CERT.",,"PRADO VERANIEGO","6000000.00",0.00,915585.47
2024 NOV 09,"COMPRA EN CANAL ELECTRONI",J5568805,"REDEBAN","21900.00",0.00,893685.47
2024 NOV 13,"COMPRA INTERNET - 157501731533277486 Recarga Nequi PSE",47618370,"INTERNET","100000.00",0.00,793685.47
2024 NOV 15,"DEBITO POR RECAUDO DOMICILIACIONES - CLARO HOGAR 70141243",,,"158700.00",0.00,634985.47
2024 NOV 16,"COMPRA INTERNET - 116481731803252575 Recarga Nequi PSE",56039171,"INTERNET","100000.00",0.00,534985.47
2024 NOV 16,"COMPRA EN CANAL ELECTRONI",14943126,"REDEBAN","46150.00",0.00,488835.47
2024 NOV 17,"COMPRA EN CANAL ELECTRONI",Z2257941,"REDEBAN","84150.00",0.00,404685.47
2024 NOV 18,"COMPRA EN CANAL ELECTRONI",A4934036,"REDEBAN","70000.00",0.00,334685.47
2024 NOV 18,"COMPRA EN CANAL ELECTRONI",Z2423684,"ASCREDIBANCO","24900.00",0.00,309785.47
2024 NOV 19,"COMPRA EN CANAL ELECTRONI",Z8895861,"REDEBAN","20400.00",0.00,289385.47
2024 NOV 19,"COMPRA EN CANAL ELECTRONI",C4224556,"REDEBAN","20000.00",0.00,269385.47
2024 NOV 19,"COMPRA EN CANAL ELECTRONI",Z3762226,"ASCREDIBANCO","24000.00",0.00,245385.47
